"COL0","COL1","COL2","COL3"
"4620149.00",2120.00,90.00,245.00
"4620150.00",1630.00,100.00,220.00
"4620151.00",1410.00,35.00,115.00
"4620152.00",1090.00,45.00,110.00
"4620153.00",460.00,40.00,100.00
"4620154.00",750.00,20.00,105.00
"4620155.00",1155.00,40.00,150.00
"4620156.00",1345.00,80.00,175.00
"4620157.00",1470.00,50.00,160.00
"4620158.00",1415.00,70.00,150.00
"4620159.00",1290.00,30.00,130.00
"4620160.00",1100.00,50.00,95.00
"4620161.00",1315.00,145.00,125.00
"4620162.00",1020.00,30.00,85.00
"4620163.00",1860.00,90.00,240.00
"4620164.00",840.00,45.00,50.00
"4620165.00",1420.00,60.00,245.00
"4620166.00",350.00,35.00,50.00
"4620167.00",1520.00,75.00,150.00
"4620168.00",1505.00,70.00,210.00
"4620169.00",1315.00,60.00,150.00
"4620170.00",1375.00,135.00,150.00
"4620171.00",2995.00,160.00,280.00
"4620172.00",1780.00,40.00,155.00
"4620173.00",1435.00,60.00,95.00
"4620174.00",1480.00,30.00,85.00
"4620175.00",1440.00,45.00,110.00
"4620176.00",1070.00,45.00,110.00
"4620177.00",965.00,40.00,110.00
"4620178.00",1705.00,55.00,165.00
"4620179.00",2710.00,240.00,350.00
"4620180.00",2185.00,260.00,325.00
"4620181.00",2820.00,260.00,410.00
"4620182.00",1365.00,75.00,180.00
"4620183.00",1495.00,175.00,220.00
"4620184.00",1820.00,120.00,375.00
"4620185.00",3265.00,355.00,555.00
"4620186.00",2845.00,375.00,385.00
"4620187.01",1725.00,145.00,295.00
"4620187.03",2825.00,260.00,400.00
"4620187.04",3350.00,185.00,265.00
"4620188.01",1405.00,125.00,165.00
"4620188.02",1620.00,140.00,220.00
"4620189.00",,,
"4620190.01",1900.00,185.00,300.00
"4620190.02",1720.00,70.00,205.00
"4620191.00",3320.00,235.00,565.00
"4620192.00",1365.00,90.00,185.00
"4620193.00",1140.00,105.00,175.00
"4620194.00",4200.00,485.00,630.00
"4620195.01",1525.00,190.00,270.00
"4620195.02",2680.00,370.00,510.00
"4620195.03",2780.00,270.00,530.00
"4620196.00",2200.00,275.00,285.00
"4620197.00",2850.00,335.00,380.00
"4620198.00",2770.00,310.00,535.00
"4620199.00",1675.00,165.00,235.00
"4620200.00",2790.00,380.00,455.00
"4620201.00",3785.00,460.00,570.00
"4620202.00",2280.00,210.00,300.00
"4620203.00",1660.00,65.00,200.00
"4620204.00",1720.00,130.00,225.00
"4620205.00",1320.00,75.00,150.00
"4620206.00",1660.00,75.00,230.00
"4620207.00",2120.00,245.00,350.00
"4620208.00",1605.00,110.00,145.00
"4620209.00",3615.00,240.00,585.00
"4620210.00",2780.00,205.00,300.00
"4620211.00",1525.00,60.00,185.00
"4620212.00",1790.00,85.00,210.00
"4620213.00",1670.00,75.00,130.00
"4620214.00",1820.00,140.00,160.00
"4620215.00",1915.00,155.00,195.00
"4620216.00",1635.00,95.00,155.00
"4620217.00",1900.00,150.00,185.00
"4620218.00",2145.00,125.00,250.00
"4620219.00",1945.00,175.00,185.00
"4620220.00",3215.00,695.00,590.00
"4620221.00",3260.00,810.00,720.00
"4620222.00",2025.00,500.00,500.00
"4620223.01",2035.00,590.00,550.00
"4620223.02",1655.00,470.00,390.00
"4620224.00",2970.00,855.00,810.00
"4620225.00",850.00,120.00,145.00
"4620226.00",2075.00,155.00,220.00
"4620227.00",1085.00,75.00,100.00
"4620228.00",1015.00,50.00,75.00
"4620229.00",,,
"4620230.00",1295.00,110.00,125.00
"4620231.00",1225.00,80.00,115.00
"4620232.00",2490.00,135.00,215.00
"4620233.00",1325.00,115.00,125.00
"4620234.00",1270.00,140.00,165.00
"4620235.00",1380.00,40.00,135.00
"4620236.00",1195.00,95.00,165.00
"4620237.00",2355.00,155.00,250.00
"4620238.00",1520.00,95.00,185.00
"4620239.00",3025.00,345.00,375.00
"4620240.00",1730.00,280.00,315.00
"4620241.00",1715.00,320.00,290.00
"4620242.00",3645.00,645.00,560.00
"4620243.00",2265.00,345.00,360.00
"4620244.00",1265.00,135.00,185.00
"4620245.00",1945.00,145.00,175.00
"4620247.00",1445.00,35.00,180.00
"4620249.00",2330.00,325.00,430.00
"4620250.00",2440.00,330.00,405.00
"4620251.01",1845.00,375.00,410.00
"4620251.02",1645.00,425.00,295.00
"4620252.00",2995.00,645.00,550.00
"4620253.00",1960.00,420.00,335.00
"4620254.00",2325.00,425.00,470.00
"4620256.00",1960.00,615.00,415.00
"4620257.00",2395.00,760.00,465.00
"4620258.00",2550.00,685.00,560.00
"4620259.00",3160.00,1040.00,640.00
"4620260.00",1155.00,245.00,235.00
"4620261.00",1420.00,475.00,315.00
"4620262.00",2450.00,760.00,525.00
"4620263.00",2075.00,480.00,430.00
"4620264.01",2620.00,210.00,435.00
"4620264.02",2930.00,200.00,425.00
"4620265.00",2670.00,220.00,415.00
"4620266.00",1995.00,220.00,350.00
"4620267.00",3595.00,595.00,875.00
"4620268.01",3455.00,305.00,580.00
"4620268.02",3080.00,370.00,580.00
"4620268.03",,,
"4620269.00",2365.00,260.00,375.00
"4620270.00",2710.00,225.00,375.00
"4620271.00",1975.00,105.00,245.00
"4620272.00",2290.00,250.00,415.00
"4620273.00",2295.00,230.00,400.00
"4620274.00",1580.00,155.00,295.00
"4620275.00",2350.00,280.00,480.00
"4620276.00",2935.00,295.00,475.00
"4620277.00",2180.00,260.00,355.00
"4620278.00",2480.00,190.00,275.00
"4620279.00",2370.00,155.00,280.00
"4620280.00",2515.00,265.00,320.00
"4620281.00",1700.00,65.00,150.00
"4620282.00",3475.00,370.00,555.00
"4620283.01",1720.00,185.00,320.00
"4620283.02",1335.00,185.00,265.00
"4620284.00",1780.00,160.00,310.00
"4620285.00",3050.00,375.00,470.00
"4620286.00",2755.00,460.00,535.00
"4620287.01",3860.00,560.00,610.00
"4620287.02",2245.00,225.00,390.00
"4620288.00",635.00,10.00,75.00
"4620290.01",1400.00,190.00,300.00
"4620290.02",3090.00,430.00,760.00
"4620290.03",2295.00,355.00,605.00
"4620290.04",3700.00,540.00,850.00
"4620290.05",2045.00,310.00,405.00
"4620290.06",2790.00,495.00,630.00
"4620290.07",2170.00,315.00,530.00
"4620290.08",2145.00,360.00,545.00
"4620290.09",2470.00,300.00,585.00
"4620291.01",2155.00,340.00,555.00
"4620291.03",2955.00,305.00,625.00
"4620291.04",2685.00,275.00,530.00
"4620300.00",1400.00,175.00,175.00
"4620301.00",3375.00,320.00,520.00
"4620302.00",2015.00,245.00,335.00
"4620303.00",1480.00,195.00,250.00
"4620304.00",1995.00,205.00,340.00
"4620305.00",2475.00,190.00,330.00
"4620306.00",1760.00,200.00,285.00
"4620307.00",2125.00,305.00,360.00
"4620308.00",1790.00,270.00,345.00
"4620309.00",835.00,80.00,110.00
"4620310.00",2060.00,230.00,465.00
"4620311.00",2325.00,350.00,490.00
"4620312.00",1905.00,225.00,345.00
"4620313.00",1930.00,205.00,490.00
"4620314.00",1325.00,115.00,285.00
"4620315.00",,,
"4620316.00",1210.00,45.00,155.00
"4620317.02",4110.00,80.00,455.00
"4620317.03",2635.00,20.00,200.00
"4620317.04",4535.00,95.00,370.00
"4620320.00",2570.00,215.00,475.00
"4620321.00",1770.00,225.00,380.00
"4620322.02",2020.00,165.00,390.00
"4620322.03",2340.00,260.00,610.00
"4620322.04",1495.00,185.00,395.00
"4620323.00",1445.00,150.00,290.00
"4620324.01",2625.00,330.00,675.00
"4620324.02",1485.00,210.00,355.00
"4620325.01",1890.00,285.00,465.00
"4620325.02",3380.00,460.00,880.00
"4620325.03",1820.00,260.00,465.00
"4620325.05",3650.00,280.00,610.00
"4620325.06",2395.00,220.00,545.00
"4620326.01",1515.00,240.00,470.00
"4620326.02",1910.00,205.00,555.00
"4620326.03",2480.00,335.00,615.00
"4620327.00",2715.00,415.00,625.00
"4620328.00",995.00,205.00,225.00
"4620329.00",2120.00,200.00,415.00
"4620330.00",3010.00,615.00,710.00
"4620340.00",2510.00,70.00,240.00
"4620350.00",1230.00,30.00,140.00
"4620351.00",2020.00,25.00,200.00
"4620352.00",1445.00,30.00,120.00
"4620353.00",1470.00,25.00,70.00
"4620354.00",1385.00,15.00,60.00
"4620355.00",725.00,10.00,25.00
"4620356.00",945.00,0.00,90.00
"4620360.00",830.00,15.00,35.00
"4620361.00",580.00,0.00,15.00
"4620362.00",1095.00,25.00,120.00
"4620363.00",2065.00,125.00,285.00
"4620364.00",1250.00,185.00,260.00
"4620365.00",1635.00,45.00,200.00
"4620366.00",1320.00,20.00,110.00
"4620367.00",2115.00,50.00,135.00
"4620370.00",3285.00,105.00,310.00
"4620380.00",1910.00,55.00,290.00
"4620381.00",3090.00,160.00,505.00
"4620382.01",1390.00,75.00,175.00
"4620382.02",2050.00,90.00,305.00
"4620383.01",1280.00,50.00,225.00
"4620383.02",3225.00,120.00,440.00
"4620385.00",680.00,0.00,115.00
"4620390.00",740.00,120.00,195.00
"4620391.00",950.00,165.00,320.00
"4620392.00",815.00,100.00,155.00
"4620393.00",4050.00,570.00,765.00
"4620394.00",2240.00,415.00,520.00
"4620395.01",1310.00,435.00,280.00
