"COL0","COL1","COL2"
"4620889.01",645.00,150.00
"4620889.02",885.00,145.00
"4620889.03",1435.00,205.00
"4620900.00",1365.00,230.00
"4620901.01",1390.00,280.00
"4620901.02",1350.00,175.00
"4620901.03",2520.00,265.00
"4620902.00",1635.00,310.00
"4620903.01",2005.00,275.00
"4620903.04",1270.00,185.00
"4620903.05",1165.00,190.00
"4620903.08",815.00,115.00
"4620903.09",1810.00,285.00
"4620903.1",1805.00,270.00
"4620903.11",1120.00,175.00
"4620903.12",1770.00,295.00
"4620903.13",820.00,70.00
"4620903.14",620.00,75.00
"4620904.02",1355.00,235.00
"4620904.03",1390.00,245.00
"4620904.04",1080.00,140.00
"4620904.05",1185.00,190.00
"4620904.06",1300.00,170.00
"4620926.01",1440.00,245.00
"4620926.02",1385.00,195.00
"4620929.01",1130.00,175.00
"4620929.02",1410.00,195.00
"4620930.02",2680.00,440.00
"4620930.03",830.00,70.00
"4620930.04",1965.00,210.00
"4621000.00",1550.00,305.00
"4621001.00",970.00,160.00
"4621002.00",1755.00,230.00
"4621003.00",2050.00,285.00
"4621004.00",1560.00,300.00
"4621005.00",2395.00,310.00
"4621006.00",6030.00,1090.00
"4622001.00",2360.00,340.00
"4622002.00",125.00,15.00
"4622003.00",,
"4622004.00",800.00,210.00
"4622005.00",950.00,245.00
"4622006.00",,
"4622007.00",220.00,80.00
"4622008.00",600.00,195.00
"4622009.00",1555.00,305.00
"4622010.00",,
"4622011.00",475.00,160.00
"4622012.00",405.00,65.00
"4622013.00",1210.00,210.00
"4622014.00",930.00,185.00
"4622015.00",1130.00,290.00
"4622100.00",610.00,65.00
"4622101.00",305.00,45.00
"4622102.00",325.00,30.00
"4622103.00",515.00,70.00
"4622200.00",1695.00,315.00
"4622201.00",1330.00,205.00
"4622202.00",2235.00,345.00
"4622203.00",1105.00,115.00
"4622204.00",260.00,20.00
"4622205.00",1185.00,185.00
"4622206.00",605.00,70.00
"4622207.00",275.00,10.00
"4622300.00",870.00,175.00
"4622301.00",705.00,215.00
"4622302.00",800.00,175.00
"4622303.00",,
"4622304.00",335.00,55.00
"4622400.00",840.00,90.00
"4622401.00",1125.00,150.00
"4622402.00",980.00,115.00
