GEOUID,COL7,COL10
4620250,16.9,10.3
4620251.01,20.7,13.2
4620251.02,26.1,13.3
4620252,26.3,11.6
4620253,21.7,12.5
4620254,22.6,10.7
4620256,19.5,15
4620257,21,15.2
4620258,32.1,17.3
4620259,29.8,17.1
4620260,19.7,14.4
4620261,22.9,15.8
4620262,22.3,14.3
4620263,18.5,12
4620264.01,10.5,7.6
4620264.02,12.5,9.8
4620265,13.4,7
4620266,22.4,9.5
4620267,14.3,10
4620268.01,20.5,10.3
4620268.02,20.4,10.2
4620268.03,,
4620269,24.7,16.2
4620270,19,5.7
4620271,7,7.7
4620272,18.1,10
4620273,15,9.9
4620274,15.3,9.1
4620275,16.9,9.3
4620276,18,10.7
4620277,22.1,10.5
4620278,17.3,7.6
4620279,17.1,10.7
4620280,17.2,9.7
4620281,7.8,5.1
4620282,19.7,9.8
4620283.01,11.5,8.8
4620283.02,17.7,12
4620284,15.7,11.4
4620285,19.2,9.9
4620286,22.1,14
4620287.01,29,13.8
4620287.02,12.9,9.2
4620288,4,5
4620290.01,8.7,5.8
4620290.02,7.4,7.6
4620290.03,11.5,8.2
4620290.04,9.8,8
4620290.05,9.1,10.3
4620290.06,10.4,8.7
4620290.07,12.4,7.1
4620290.08,6.5,6.7
4620290.09,9.4,7
4620291.01,6,7.8
4620291.03,4.3,5.1
4620291.04,3.5,6.5
4620300,29.1,9.9
4620301,18.8,8.8
4620302,24.7,8
4620303,25.4,6.5
4620304,24.1,7.8
4620305,20.3,8.9
4620306,21.6,7.4
4620307,27.5,11.5
4620308,20.8,7.6
4620309,12.1,5.9
4620310,13,5.2
4620311,22.3,9
4620312,17.6,7.3
4620313,10.9,6.8
4620314,10.3,6.7
4620315,,
4620316,3.7,4.2
4620317.02,14.2,9.7
4620317.03,8.6,6.8
4620317.04,14.9,8.9
4620320,11.1,9.1
4620321,12.9,10
4620322.02,10.2,7
4620322.03,14.5,9.4
4620322.04,13.9,5.5
4620323,12.5,7.7
4620324.01,19.1,12.9
4620324.02,15.6,12.7
4620325.01,14.7,12
4620325.02,19.6,9.4
4620325.03,13.2,12.2
4620325.05,13.8,10
4620325.06,9.6,9.4
4620326.01,14.5,10.3
4620326.02,19.2,11.1
4620326.03,15.4,10.9
4620327,17.1,10.5
4620328,34.5,20
4620329,16.3,9.6
4620330,21.3,12.1
4620340,6.4,5.7
4620350,21.6,9.3
4620351,16.6,8.3
4620352,16.9,6
4620353,8.2,3.7
4620354,4.9,3
4620355,13.7,5.2
4620356,7.2,5.1
4620360,4.6,3.7
4620361,16.4,8.7
4620362,7.1,3.7
4620363,11.7,6.6
4620364,15.1,9.7
4620365,13.3,9.3
4620366,7.8,5.1
4620367,10.7,4
4620370,9,5.5
4620380,11.9,9.1
4620381,21.3,11.2
4620382.01,12.3,8.1
4620382.02,8,5.5
4620383.01,11.4,11.2
4620383.02,12.9,9.1
4620385,16.4,7.8
4620390,21.1,4.2
4620391,21.5,10.8
4620392,13.9,11.2
4620393,15.5,8.4
4620394,17.8,7.7
4620395.01,43.2,26.9
4620395.02,18.5,10.3
4620395.03,13.9,8.8
4620396,9.7,5.9
4620397,5.1,5.7
